Name,Profile URL,Debut Year,Number of Movies,Tags/Genres,Birthday,Height,Cup Size
初美なのか,https://javdb.com/actors/GMBY7,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(2), 苗條(2), 美少女電影(2), 主觀視角(1), 多P(1), 首次亮相(1), 女大學生(1)",,,
三澄寧々,https://javdb.com/actors/d4ndM,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(3), 巨乳(3), 姐姐(2), 介紹影片(1), 內衣(1), 泳裝(1), 苗條(1), 偶像(1), 淫亂真實(1), 首次亮相(1), 女上位(1)",,,
千咲ちな,https://javdb.com/actors/45PvE,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(2), 禮儀小姐(2), 第一人稱攝影(1), 口交(1), 濫交(1), 巨乳(1), 首次亮相(1), 潮吹(1), 女上位(1), 淫亂真實(1)",,,
ひなの花音,https://javdb.com/actors/NwOmN,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(3), 巨乳(3), 口交(2), 姐姐(2), 介紹影片(1), 性感的(1), 內衣(1), 泳裝(1), 白天出軌(1), 接吻(1), 首次亮相(1)",,,
桜庭ももな,https://javdb.com/actors/vDkAp,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 乳交(2), 單體作品(2), 巨乳(2), 女大學生(2), 潮吹(1), 首次亮相(1), 美少女電影(1)",,,
今田光,https://javdb.com/actors/1B3gJ,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 多P(2), 單體作品(2), 苗條(2), 美少女電影(2), 乳液(1), 首次亮相(1), 顏射(1)",,,
白浜果歩,https://javdb.com/actors/D2G6J,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(2), 苗條(2), 女優按摩棒(1), 潮吹(1), 美少女電影(1), 首次亮相(1), 多P(1), 姐姐(1), 蕩婦(1)",,,
光森珠理,https://javdb.com/actors/QV4YJ,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(3), 肛門・肛交(2), 深喉(2), 淫亂真實(2), 已婚婦女(2), SM(1), 苗條(1), 首次亮相(1), 中出(1)",,120 cm,
小笠原菜乃,https://javdb.com/actors/K477M,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 4K(5), 素人作品(5), 單體作品(5), 業餘(3), 巨乳(3), 紀錄片(3), 拘束(2), 玩具(2), 多P(2), 首次亮相(2)",,,
河北彩花,https://javdb.com/actors/EvkJ,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 精選綜合(90), 4小時以上作品(84), 單體作品(80), 美少女電影(71), 苗條(69), 淫亂真實(60), 巨乳(55), 口交(47), 接吻(45), VR(43), 女上位(38), 潮吹(21), 蕩婦(19), 主觀視角(16), 顏射(16), 手淫(13), 美乳(13), 薄馬賽克(13), 乳交(12), 淫語(11), 戲劇(11), 白天出軌(9), 16小時以上作品(9), 多P(9), 紀錄片(8), 高挑(8), 濫交(6), 偶像(6), 美少女(6), 凌辱(5), 深喉(5), 第一人稱攝影(5), 情侶(5), 乳液(5), 高中女生(4), OL(4), 流汗(4), 介紹影片(4), 巨大陰莖(3), 制服(3), 護士(3), 美容院(3), 禮儀小姐(3), 角色扮演者(2), M男(2), 戀愛(2), 玩具(2), 中出(2), 子宮頸(2), 女教師(2), 家教(2), 連褲襪(2), 藥物(2), 首次亮相(2), 女傭(1), 出軌(1), 和服，喪服(1), 各種職業(1), 姐姐(1), 感謝祭(1), 學校泳裝(1), 學校作品(1), 旗袍(1), 拘束(1), 偷窺(1), 瘦小身型(1), 浴衣(1), 立即口交(1), 按摩(1), 3D(1), 素人作品(1), 4K(1), 戀乳癖(1), 妓女(1)",,,
