Name,Profile URL,Debut Year,Number of Movies,Tags/Genres
censored,https://javdb.com/actors/censored,,,
uncensored,https://javdb.com/actors/uncensored,,,
western,https://javdb.com/actors/western,,,
有碼,https://javdb.com/actors/censored,,,
無碼,https://javdb.com/actors/uncensored,,,
歐美,https://javdb.com/actors/western,,,
仁藤さや香,https://javdb.com/actors/p3Wye,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(19), 苗條(15), 巨乳(15), 潮吹(9), 淫亂真實(7), 已婚婦女(6), 乳交(6), 戀乳癖(4), 白天出軌(3), 4小時以上作品(3), 精選綜合(3), 16小時以上作品(2), 戲劇(2), 偶像(2), VR(2), 賽車女郎(2), 按摩(2), 乳液(2), 玩具(2), OL(1), 女優按摩棒(1), 放尿(1), 護士(1), 出軌(1), 女教師(1), 拘束(1), 主觀視角(1), 姐姐(1), 口交(1), 接吻(1), 蕩婦(1), 多P(1), 首次亮相(1)"
鈴乃ウト,https://javdb.com/actors/MmAk7,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(14), 苗條(13), 口交(8), 美少女電影(7), 精選綜合(6), 4小時以上作品(4), 蕩婦(4), VR(4), 中出(3), 白天出軌(2), 顏射(2), 女教師(2), 凌辱(2), 女上位(2), 高中女生(2), 第一人稱攝影(2), 接吻(2), 深喉(1), 美乳(1), 巨乳(1), 足交(1), 戀腿癖(1), 自慰(1), 寡婦(1), 戲劇(1), 已婚婦女(1), 妹妹(1), 姐姐(1), 護士(1), 介紹影片(1), 泳裝(1), 乳液(1), 美容院(1), 主觀視角(1), 流汗(1), 潮吹(1), 首次亮相(1)"
亜弓れおん,https://javdb.com/actors/d4dJe,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 手淫(1), 主觀視角(1), 蕩婦(1), 首次亮相(1), 顏射(1), 中出(1), 單體作品(1), 瘦小身型(1), 辣妹(1), 美少女電影(1)"
"透美奏多, 透美かなた, 葉澄かえで",https://javdb.com/actors/B8O24,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 中出(33), 單體作品(30), 高挑(19), 精選綜合(14), 巨乳(13), VR(12), 高中女生(11), 蕩婦(10), 第一人稱攝影(9), 自慰(7), 女上位(7), 制服(7), 4小時以上作品(7), 苗條(7), 顏射(6), 校服(6), 淫亂真實(6), 口交(6), 大屁股(6), 手淫(5), 美臀(5), 美少女電影(5), 素人作品(5), 按摩棒(5), 潮吹(5), 業餘(5), 淫語(5), 乳交(4), 舔陰(4), 獵豔(4), 美乳(4), 女大學生(4), 主觀視角(3), 放尿(3), 女教師(3), 戀腿癖(3), 多P(3), 4K(3), 戀物癖(2), 角色扮演者(2), 肛門・肛交(2), 接吻(2), 巨大陰莖(2), 女優按摩棒(2), 妹妹(2), 兔女郎(2), 戲劇(2), 女主播(2), 企畫(2), 按摩(2), 白天出軌(2), 泳裝(2), 騎乗位(2), 手指插入(2), 泡泡襪(2), 學校泳裝(2), 連褲襪(2), 運動短褲(2), 戀乳癖(2), 首次亮相(2), 水手服(1), 迷你裙(1), 姐姐(1), 汽車性愛(1), 已婚婦女(1), 藥物(1), 乳液(1), 吞精(1), OL(1), 出軌(1), 護士(1), 模特兒(1), 凌辱(1), 羞恥(1), 足交(1), 角色扮演(1), 運動(1), 偷窺(1), 深喉(1)"
"矢澤莉亚, 矢澤なの",https://javdb.com/actors/wqM2Y,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(15), 中出(13), 單體作品(8), 4小時以上作品(6), 美少女電影(5), 素人作品(5), 精選綜合(4), 苗條(4), 校服(3), 角色扮演者(3), 第一人稱攝影(3), 潮吹(3), 美乳(2), 已婚婦女(2), 白天出軌(2), 制服(2), 蕩婦(2), 高中女生(2), 乳交(2), 淫亂真實(2), 大屁股(2), 自慰(1), 迷你裙(1), 辣妹(1), 凌辱(1), 猥褻穿著(1), 多P(1), 獵豔(1), 妹妹(1), 4K(1), 美少女(1), 亂倫(1), 熟女(1), 巨大陰莖(1), 情侶(1), 淫語(1), 手淫(1), 立即口交(1), 眼鏡(1), 首次亮相(1)"
七瀬みしろ,https://javdb.com/actors/g0paq,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(5), 美少女電影(4), 口交(3), 高中女生(2), 制服(2), 顏射(2), 多P(2), 中出(1), 戲劇(1), 按摩(1), 美容院(1), 女上位(1), 接吻(1), 巨乳(1), 首次亮相(1)"
新庄カンナ,https://javdb.com/actors/rmv2D,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 多P(2), 單體作品(2), 苗條(2), 口交(1), 中出(1), 首次亮相(1), 顏射(1), 美少女電影(1)"
長谷川礼奈,https://javdb.com/actors/5EG7B,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 中出(9), 潮吹(7), 單體作品(6), 美少女電影(5), 平胸(4), 苗條(4), 淫亂真實(3), 企畫(3), 4小時以上作品(3), 高中女生(2), 口交(2), VR(2), 玩具(2), 按摩棒(2), 按摩(2), 精選綜合(2), 美乳(2), 拘束(2), 多P(2), 白天出軌(1), 凌辱(1), 巨乳(1), 短裙(1), M男(1), 淫語(1), 戀物癖(1), 蕩婦(1), 主觀視角(1), 辣妹(1), 姐姐(1), 各種職業(1), 護士(1), 無毛(1), 素人作品(1), 4K(1), 水手服(1), 第一人稱攝影(1), 捆綁(1), 制服(1), 深喉(1), 首次亮相(1)"
"五条恋, 雛田真依羽, 結城ちか, 髙橋央",https://javdb.com/actors/VwvaX,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(34), 單體作品(27), 乳交(21), 4小時以上作品(16), 精選綜合(15), 偶像(15), 戀乳癖(13), 淫亂真實(11), 超乳(7), 主觀視角(6), 美少女電影(6), 濫交(5), 美容院(5), 蕩婦(5), 白天出軌(4), 苗條(4), VR(4), 介紹影片(4), 接吻(4), OL(3), 潮吹(3), 拘束(3), 16小時以上作品(2), 大屁股(2), 性感的(2), 羞恥(2), 子宮頸(2), 多P(2), 女教師(2), 美乳(2), 猥褻穿著(2), 手淫(2), 女上位(2), 顏射(2), 乳液(1), 捆綁(1), 女傭(1), M男(1), 妹妹(1), 立即口交(1), 姐姐(1), 口交(1), 學校泳裝(1), 禮儀小姐(1), 第一人稱攝影(1), 內衣(1), 泳裝(1), 首次亮相(1), 紀錄片(1)"
